Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
5/28/2021,663.5,JUL 21,613.25,JUL 21,727.5,JUL 21
5/21/2021,674.25,JUL 21,624,JUL 21,700.5,JUL 21
5/14/2021,727.25,MAY 21,651.75,MAY 21,745.25,MAY 21
5/7/2021,773.5,MAY 21,727.75,MAY 21,789,MAY 21
4/30/2021,742.5,MAY 21,698.25,MAY 21,763.25,MAY 21
4/23/2021,710.25,MAY 21,673.25,MAY 21,718.5,MAY 21
4/16/2021,652.5,MAY 21,609.25,MAY 21,664.25,MAY 21
4/9/2021,638.75,MAY 21,586.5,MAY 21,654,MAY 21
4/2/2021,611,MAY 21,565,MAY 21,599.5,MAY 21
3/26/2021,613.25,MAY 21,568.25,MAY 21,614,MAY 21
3/19/2021,627,MAY 21,585.5,MAY 21,627,MAY 21
3/12/2021,631.75,MAR 21,595,MAR 21,628.75,MAR 21
3/5/2021,654,MAR 21,617.25,MAR 21,637.5,MAR 21
2/26/2021,655,MAR 21,624.75,MAR 21,631,MAR 21
2/19/2021,650.75,MAR 21,631.75,MAR 21,628.75,MAR 21
2/12/2021,636.75,MAR 21,616.75,MAR 21,616,MAR 21
2/5/2021,641.25,MAR 21,625.25,MAR 21,626,MAR 21
1/29/2021,663,MAR 21,638,MAR 21,633.5,MAR 21
1/22/2021,634.5,MAR 21,613.25,MAR 21,612.5,MAR 21
1/15/2021,675.5,MAR 21,643,MAR 21,643.25,MAR 21
1/8/2021,638.75,MAR 21,594.75,MAR 21,607.75,MAR 21
1/1/2021,640.5,MAR 21,603.5,MAR 21,599.25,MAR 21
12/25/2020,627,MAR 21,589,MAR 21,582.75,MAR 21
12/18/2020,608.25,MAR 21,569.25,MAR 21,568.5,MAR 21
12/11/2020,608.25,DEC 20,579,DEC 20,555.25,DEC 20
12/4/2020,566.5,DEC 20,541.25,DEC 20,536,DEC 20
11/27/2020,596.5,DEC 20,561.5,DEC 20,550.75,DEC 20
11/20/2020,593.25,DEC 20,550.25,DEC 20,544,DEC 20
11/13/2020,593.5,DEC 20,552,DEC 20,554.75,DEC 20
11/6/2020,602,DEC 20,555.25,DEC 20,557.25,DEC 20
